Noise level:0.0
Random done in: 0:00:00.000145, ARIs: [array([0.013, 0.071]), array([0.281, 0.863])]
Greedy done in: 0:00:00.001380, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.227679, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000154, ARIs: [array([0.333, 0.583]), array([0.789, 0.822])]
Greedy done in: 0:00:00.001352, ARIs: [array([-0.06 , -0.022]), array([0.02, 0.03])]
ILP done in: 0:00:01.154058, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000141, ARIs: [array([1., 1.]), array([1.   , 0.553])]
Greedy done in: 0:00:00.001350, ARIs: [array([0.588, 0.804]), array([0.14 , 0.756])]
ILP done in: 0:00:01.100253, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000166, ARIs: [array([-0.023,  0.832]), array([0.13, 0.6 ])]
Greedy done in: 0:00:00.001329, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.155542, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000160, ARIs: [array([1.   , 0.737]), array([0.036, 0.515])]
Greedy done in: 0:00:00.001388, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.012007, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000136, ARIs: [array([1.   , 0.629]), array([0.357, 0.863])]
Greedy done in: 0:00:00.001412, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.076337, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000156, ARIs: [array([0.444, 0.83 ]), array([1., 1.])]
Greedy done in: 0:00:00.001350, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.008884, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000153, ARIs: [array([0.19 , 0.525]), array([-0.009,  0.793])]
Greedy done in: 0:00:00.001376, ARIs: [array([1., 1.]), array([1., 1.])]
